"Ledger Name",Group,"Opening Balance","Mailing Name",Address,Phone
"ABC Manufacturing Ltd","Sundry Debtors",15000.00,"ABC Manufacturing Ltd","123 Industrial Area, Mumbai, Maharashtra, ,",9876543210
"LMN Industries","Sundry Debtors",12000.00,"LMN Industries","321 Tech Hub, Bangalore, Karnataka, ,",9876543213
"PQR Services","Sundry Debtors",8500.00,"PQR Services","789 Business Park, Pune, Maharashtra, ,",9876543212
"Radhe Radhe ","Sundry Debtors",0.00,"Radhe Radhe ","sdfsf, Karol Bagh, Delhi 110044",785478548
"RST Enterprises","Sundry Debtors",18500.00,"RST Enterprises","654 Commercial Center, Chennai, Tamil Nadu, ,",9876543214
"Tally Customer 1","Sundry Debtors",25000.00,"Tally Customer 1","Mumbai Industrial Area, Maharashtra, ,",9999111111
"Tally Customer 2","Sundry Debtors",18500.00,"Tally Customer 2","Delhi Trade Center, NCR, ,",9999222222
"Tally Customer 3","Sundry Debtors",32000.00,"Tally Customer 3","Pune Business Hub, Maharashtra, ,",9999333333
"Tally Customer 4","Sundry Debtors",15750.00,"Tally Customer 4","Bangalore Tech Park, Karnataka, ,",9999444444
"Test Company","Sundry Debtors",0.00,"Test Company",", ,",9923348486
test-2,"Sundry Debtors",0.00,test-2,", ,",
"XYZ Trading Company","Sundry Debtors",25000.00,"XYZ Trading Company","456 Market Street, Delhi, NCR, ,",9876543211
